category,brand,price,rating,capacity_people,capacity,cleaning_features,display_desc,features,value_score,price_per_liter,price_per_person
0.0,0.5238095238095237,8706480,4.0,0.2941176470588235,0.2035398230088495,0.9473684210526316,0.3380281690140845,0.2692307692307693,4.594279198258907e-06,40772160.79569002,28628657.640232112
0.0,0.5238095238095237,5230000,4.1,0.0588235294117647,0.1194690265486725,0.9473684210526316,0.1267605633802817,0.2692307692307693,7.839388130326218e-06,40395762.132604256,75991452.99145299
0.0,0.738095238095238,12980000,4.1,0.5294117647058822,0.4247787610619469,0.9473684210526316,0.2676056338028169,0.2692307692307693,3.158705698645065e-06,29854264.19702829,24063249.727371868
0.0,0.1666666666666666,6486000,4.1,0.2941176470588235,0.2256637168141593,0.9473684210526316,0.8028169014084507,0.576923076923077,6.321307421644608e-06,27522268.11866316,21327272.72727273
0.0,0.9761904761904762,5870000,4.2,0.4705882352941177,0.247787610619469,0.3684210526315789,0.9154929577464788,0.2692307692307693,7.155025541473551e-06,22770683.14452455,12214198.286413707
0.0,0.4523809523809523,5610000,4.0,0.2352941176470588,0.4690265486725663,0.9473684210526316,0.1971830985915493,0.2692307692307693,7.130124764473931e-06,11711250.69277665,22870503.597122304
0.0,0.5238095238095237,8600000,4.4,0.1176470588235294,0.2123893805309734,0.9473684210526316,0.647887323943662,0.9807692307692308,5.11627906381828e-06,38670911.261440516,67373271.88940093
0.0,0.5238095238095237,13430000,4.0,0.1764705882352941,0.2123893805309734,0.9473684210526316,0.6901408450704225,0.7115384615384616,2.9784065502766892e-06,60389574.21408676,72022082.01892745
0.0,0.9761904761904762,6700000,4.4,0.2352941176470588,0.2256637168141593,0.9473684210526316,0.8028169014084507,0.0961538461538461,6.56716416930274e-06,28430341.71986481,27314148.68105516
0.0,0.1666666666666666,6950000,4.4,0.2941176470588235,0.2920353982300885,0.0526315789473684,0.8028169014084507,0.25,6.330935242689302e-06,23010547.905068852,22852998.065764025
0.0,0.5238095238095237,7950000,3.8,0.2352941176470588,0.2123893805309734,0.8421052631578947,0.8028169014084507,0.4807692307692308,4.779874207824058e-06,35748109.82888978,32410071.942446046
0.0,0.5238095238095237,14968110,4.0,0.2352941176470588,0.247787610619469,0.9473684210526316,0.8028169014084507,0.2692307692307693,2.6723480768965837e-06,58063729.14521113,61021071.942446046
0.0,0.5238095238095237,6100000,4.1,0.0588235294117647,0.1194690265486725,0.9473684210526316,0.8028169014084507,0.4038461538461538,6.721311464391293e-06,47115516.0628845,88632478.63247864
0.0,0.6904761904761905,19275000,4.1,0.2941176470588235,0.2920353982300885,0.3684210526315789,0.380281690140845,0.1923076923076923,2.127107651295923e-06,63817023.146791674,63380077.36943908
0.0,0.9761904761904762,5670000,4.2,0.2352941176470588,0.247787610619469,0.9473684210526316,0.8028169014084507,0.2692307692307693,7.407407394343197e-06,21994850.66941298,23115107.91366907
0.0,0.5238095238095237,11294890,4.2,0.2352941176470588,0.2123893805309734,0.1052631578947368,0.0140845070422535,1.0,3.7184957058293656e-06,50788801.03461999,46046314.14868106
