category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth,value_score,price_per_burner,price_per_oven_liter
0.0,0.36,10500000,3.8,0.8333333333333333,0.1538461538461538,0.4444444444444444,0.3333333333333333,0.9444444444444444,0.849906191369606,0.2777777777777778,3.6190476156009072e-06,12450592.885375494,30582524.271844663
0.0,0.64,31408350,4.4,1.0,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9888888888888888,0.9061913696060038,0.6666666666666666,1.4009013522197437e-06,31097376.237623762,91480631.06796117
0.0,0.88,4750000,3.6,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.4444444444444444,7.5789473524653745e-06,5632411.067193677,13834951.45631068
0.0,0.36,12000000,3.8,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.2777777777777778,3.166666664027778e-06,14229249.011857709,34951456.310679615
0.0,0.36,11100000,3.8,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.2777777777777778,3.4234234203392582e-06,13162055.33596838,32330097.087378643
0.0,0.36,13000000,4.2,0.8333333333333333,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.2777777777777778,3.230769228284024e-06,15415019.762845851,37864077.66990291
0.0,0.28,27250000,4.3,0.8333333333333333,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111,1.5779816507970708e-06,32312252.96442688,79368932.03883496
0.0,0.6,6174000,3.1,0.8333333333333333,0.0769230769230769,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.611111111111111,5.021056033331623e-06,7320948.616600791,17982524.27184466
0.0,0.64,30740000,4.1,0.8333333333333333,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9888888888888888,0.9061913696060038,0.6666666666666666,1.333767078290902e-06,36450592.8853755,89533980.58252427
0.0,0.88,4940000,4.1,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.4444444444444444,8.299595124899605e-06,5857707.509881424,14388349.514563108
0.0,0.28,29608060,4.5,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111,1.5198564169621864e-06,35108371.54150198,86237067.96116506
0.0,0.64,33008020,4.3,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9888888888888888,0.4371482176360226,0.9444444444444444,1.3027137037293622e-06,39139944.664031625,96139864.0776699
0.0,0.28,26100000,4.2,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.0,0.9,0.9061913696060038,0.611111111111111,1.6091954016823004e-06,30948616.600790516,2610000000.0
0.0,0.28,29950720,4.2,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111,1.402303516776123e-06,35514687.74703558,87235106.7961165
0.0,0.88,4655000,3.5,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.4444444444444444,7.5187969763291154e-06,5519762.845849803,13558252.427184466
0.0,0.2,27180000,4.2,0.8333333333333333,0.3846153846153846,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.9061913696060038,0.611111111111111,1.5452538625661316e-06,32229249.01185771,40167487.68472906
0.0,0.6,4992000,3.7,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.611111111111111,7.411858959511501e-06,5919367.588932807,14539805.825242719
0.0,0.28,19159270,4.3,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,1.0,0.4371482176360226,0.8888888888888888,2.244344381469469e-06,22718501.976284586,55803699.02912621
0.0,0.0,4704000,2.4,0.8333333333333333,0.0769230769230769,0.6666666666666666,0.3333333333333333,0.9222222222222224,0.7185741088180113,0.611111111111111,5.102040805480356e-06,5577865.612648222,13700970.873786408
0.0,0.28,21800000,4.0,0.8333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111,1.8348623844794208e-06,25849802.371541504,63495145.63106796
0.0,0.28,37400000,4.4,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111,1.17647058792073e-06,44347826.08695652,108932038.83495146
0.0,0.36,11500000,4.4,0.8333333333333333,0.4615384615384615,0.4444444444444444,0.3333333333333333,0.9444444444444444,0.849906191369606,0.2777777777777778,3.826086953194707e-06,13636363.636363637,33495145.63106796
0.0,0.88,7695000,2.8,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.611111111111111,3.6387264410153005e-06,9124505.928853756,22412621.359223302
0.0,0.88,5985000,1.0,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.611111111111111,1.670843773315215e-06,7096837.944664032,17432038.834951457
0.0,0.72,3300000,4.0,0.6666666666666666,0.9230769230769232,0.4444444444444444,0.3333333333333333,0.0555555555555555,0.9061913696060038,0.1111111111111111,1.2121212084481177e-05,4876847.290640394,9611650.485436894
