category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity,value_score,price_per_liter,price_per_person
0.0,0.8,4480000.0,4.2,0.6000000000000001,0.3333333333333333,0.6666666666666666,0.72,0.0029098845139583,9.37499997907366e-06,347020919.91265905,7344262.295081966
0.0,0.92,3334000.0,4.4,0.0,0.0,0.6666666666666666,0.48,0.0,1.3197360488310258e-05,333400000.0,333400000.0
0.0,0.92,3699000.0,4.3,0.6000000000000001,0.0,0.6666666666666666,0.48,0.0005456033463671,1.1624763418154196e-05,350762291.97206473,6063934.426229508
0.0,0.6,3275000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,0.52,0.0005456033463671,1.2824427441757475e-05,310555962.74898946,5368852.459016393
0.0,0.92,5294000.0,4.0,0.6000000000000001,0.0,0.1111111111111111,0.88,0.0005456033463671,7.555723446249106e-06,502010157.7994352,8678688.524590163
0.0,0.92,3676000.0,4.4,0.6000000000000001,0.0,0.6666666666666666,0.16,0.0005456033463671,1.196953206754752e-05,348581288.2642093,6026229.50819672
0.0,0.92,2890000.0,4.3,0.2,0.0,0.1666666666666666,0.92,0.0005456033463671,1.4878892682079958e-05,274047857.2044518,13761904.761904761
0.0,0.92,4289000.0,4.4,1.0000000000000002,0.0,0.1111111111111111,0.6,0.0009548058561425,1.0258801561532288e-05,391517664.1487537,4246534.6534653455
0.0,0.92,2990000.0,4.3,0.2,0.0,0.1666666666666666,0.92,0.0001818677821223,1.438127085491214e-05,293659283.736718,14238095.238095237
0.0,0.92,3053000.0,4.2,0.6000000000000001,0.0,0.6666666666666666,1.0,0.0005456033463671,1.375696032179181e-05,289504535.65577555,5004918.032786884
0.0,0.76,5750000.0,4.3,0.4000000000000001,0.0,0.6666666666666666,0.64,0.0010912066927343,7.478260856559547e-06,518428711.97835916,14024390.243902436
0.0,0.92,3200000.0,4.3,0.2,0.0,0.6666666666666666,0.48,0.0001818677821223,1.3437499958007813e-05,314284183.26337713,15238095.238095237
0.0,0.92,3503300.0,4.3,1.0000000000000002,0.0,0.6666666666666666,1.0,0.0009548058561425,1.2274141488670279e-05,319795717.6060454,3468613.861386138
0.0,0.92,4797000.0,3.8,0.2,0.0,0.6666666666666666,0.96,0.0005456033463671,7.921617661201547e-06,454881512.4601229,22842857.14285714
0.0,0.84,7400000.0,4.2,1.0000000000000002,0.0,0.5555555555555556,0.08,0.0024552150586523,5.675675668005844e-06,594128641.3083185,7326732.673267325
0.0,0.4,10200000.0,4.3,0.6000000000000001,0.0,0.4444444444444444,0.2,0.0020005456033463,4.2156862703767786e-06,849961354.8533806,16721311.475409834
0.0,0.92,5137400.0,3.0,0.6000000000000001,0.0,0.5555555555555556,0.16,0.0005456033463671,5.839529711839589e-06,487160367.3363843,8421967.213114753
0.0,0.4,10000000.0,4.2,0.6000000000000001,0.0,0.3888888888888888,0.08,0.0005456033463671,4.1999999958e-06,948262481.6763037,16393442.622950817
0.0,1.0,4650000.0,4.3,0.2,1.0,0.0555555555555555,0.08,0.0020005456033463,9.247311808070298e-06,387482382.3596294,22142857.14285714
0.0,1.0,6100000.0,3.8,0.6000000000000001,0.0,0.5555555555555556,0.08,0.0005456033463671,6.229508186509003e-06,578440113.8225453,9999999.999999998
0.0,0.92,4099900.0,4.6,1.0000000000000002,0.0,0.6666666666666666,0.16,0.0009548058561425,1.121978582106933e-05,374255833.8175508,4059306.9306930685
0.0,0.88,4600000.0,4.1,0.0,0.0,0.6666666666666666,0.08,0.0005456033463671,8.913043458884689e-06,436200741.5710997,460000000.0
0.0,0.92,4100000.0,4.2,1.0000000000000002,0.0,0.6666666666666666,1.0,0.0009548058561425,1.0243902414039263e-05,374264962.23126376,4059405.9405940585
0.0,0.48,7500000.0,3.6,0.6000000000000001,0.0,0.6666666666666666,0.12,0.0006365372374283,4.7999999936e-06,705116696.5888748,12295081.967213113
0.0,0.48,12641610.0,4.0,0.6000000000000001,0.0,0.8333333333333333,0.32,0.0005456033463671,3.1641539304217153e-06,1198756447.0983977,20723950.819672126
0.0,0.76,5500000.0,4.3,0.6000000000000001,0.0,0.6666666666666666,0.08,0.0015458761480403,7.818181803966943e-06,476360557.6120374,9016393.44262295
0.0,0.92,4259000.0,4.3,1.0000000000000002,0.0,0.6666666666666666,0.08,0.0005456033463671,1.0096266705573453e-05,403864990.94593775,4216831.683168316
0.0,0.64,3600000.0,4.6,0.6000000000000001,0.0,0.5555555555555556,0.64,0.0005456033463671,1.277777774228395e-05,341374493.4034693,5901639.3442622945
0.0,0.56,6000000.0,4.4,0.4000000000000001,0.0,0.6666666666666666,0.0,0.0005456033463671,7.333333321111111e-06,568957489.0057822,14634146.341463411
0.0,0.32,4850000.0,4.2,0.6000000000000001,0.0,0.2777777777777778,0.08,0.0024552150586523,8.659793796577745e-06,389395123.0196412,7950819.672131146
0.0,0.52,16800000.0,4.1,0.4000000000000001,0.0,1.0,0.08,0.0020005456033463,2.440476189023526e-06,1399936349.1702738,40975609.756097555
0.0,1.0,11760000.0,3.0,0.6000000000000001,0.0,0.5555555555555556,0.12,0.0005456033463671,2.5510204059940305e-06,1115156678.4513333,19278688.52459016
0.0,0.64,4600000.0,4.0,0.8,0.0,0.7222222222222222,0.64,0.0005456033463671,8.695652155009453e-06,436200741.5710997,5679012.345679012
0.0,0.04,2550000.0,1.0,0.6000000000000001,0.0,0.6666666666666666,0.64,0.0,3.921568612072281e-06,255000000.0,4180327.8688524584
0.0,0.64,4600000.0,4.2,0.8,0.0,0.5555555555555556,0.64,0.0005456033463671,9.130434762759924e-06,436200741.5710997,5679012.345679012
0.0,0.64,3600000.0,4.0,0.6000000000000001,0.0,0.5555555555555556,0.08,0.0005456033463671,1.1111111080246915e-05,341374493.4034693,5901639.3442622945
0.0,0.56,10000000.0,2.0,0.6000000000000001,0.0,0.2777777777777778,0.08,0.0005456033463671,1.999999998e-06,948262481.6763037,16393442.622950817
0.0,0.56,6500000.0,4.0,0.8,0.0,0.5555555555555556,0.64,0.0005456033463671,6.153846144378698e-06,616370613.0895975,8024691.358024691
0.0,0.68,6845500.0,2.3,0.4000000000000001,0.0,0.6666666666666666,0.04,0.0015458761480403,3.359871443488611e-06,592895672.2060367,16696341.46341463
0.0,0.56,8000000.0,3.5,1.0000000000000002,0.0,0.6666666666666666,0.8,0.0024552150586523,4.37499999453125e-06,642301233.8468308,7920792.079207919
0.0,0.24,5960000.0,3.7,0.6000000000000001,0.0,0.5555555555555556,0.28,0.0024552150586523,6.208053680858971e-06,478514419.215889,9770491.803278686
0.0,0.56,6050000.0,5.0,0.8,0.0,0.2222222222222222,0.76,0.0005456033463671,8.264462796257086e-06,573698801.4141637,7469135.802469135
0.0,0.56,6370000.0,2.0,0.1,0.0,0.3333333333333333,0.64,0.0003182686187141,3.1397174205027986e-06,617351634.7933431,57909090.90909091
