category,brand,price,rating,capacity,baskets,height,width,depth,value_score,price_per_place_setting,compactness
0.0,0.4375,38599000,4.2,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.0881110906790045e-06,42940791.100123614,88.74027546803283
0.0,0.1875,29255200,4.3,0.8888888888888887,0.5,0.0385587863463969,0.0124314442413162,0.0330404217926186,1.4698241675087422e-06,32545957.97280594,88.74833245606548
0.0,0.0625,34181050,4.3,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.2580069947359702e-06,38025889.98763907,88.74027546803283
0.0,0.9375,38499000,4.2,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.0909374266627868e-06,38117821.782178216,99.83280990153696
0.0,0.9375,30978000,4.3,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.3880818641009483e-06,30671287.12871287,99.83280990153696
0.0,0.4375,42900000,4.0,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,9.324009321835896e-07,47725587.144623,88.74027546803283
0.0,0.75,31900000,4.2,0.0,0.0,0.0,0.0,0.0,1.316614419649964e-06,3190000000.0,0.0
0.0,0.0625,37252100,3.8,0.8888888888888887,0.5,0.0385587863463969,0.0127970749542961,0.0333919156414762,1.0200767202332011e-06,41442385.66131026,88.74266851569203
0.0,1.0,37016300,4.1,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.1076201562264139e-06,36649801.98019802,99.83280990153696
0.0,0.9375,25900000,3.6,0.7777777777777778,0.0,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.3899613894247252e-06,32877291.960507758,77.64774103452875
0.0,0.9375,35000000,4.5,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.2857142853469388e-06,34653465.346534654,99.83280990153696
0.0,0.9375,31900000,4.4,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.3793103443952005e-06,31584158.415841583,99.83280990153696
0.0,0.1875,36900000,4.4,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.1924119237960945e-06,41050679.85166873,88.74027546803283
0.0,0.9375,26200000,3.4,0.7777777777777778,0.0,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.297709923168813e-06,33258110.01410437,77.64774103452875
0.0,0.4375,32480000,4.2,0.6666666666666666,0.0,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.293103447877739e-06,48000000.0,66.55520660102464
0.0,0.0,85944000,3.0,1.0,0.5,1.0,0.992687385740402,1.0,3.490645070803006e-07,85093069.30693069,0.9973198169453209
0.0,0.0625,33360000,4.3,0.7777777777777778,0.5,0.038685208596713,0.0127970749542961,0.0333919156414762,1.2889688245536663e-06,42346967.55994358,77.6494161588556
0.0,0.9375,36181000,3.9,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,1.0779138218739357e-06,35822772.27722772,99.83280990153696
