category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material,value_score,price_per_accessory
0.0,0.5818181818181818,6817000,4.3,0.0,0.4166666666666666,0.3333333333333333,0.5,0.4375,6.307760002482382e-06,19855339.805825245
0.0,0.9636363636363636,6733510,4.1,0.0,0.7083333333333333,0.3333333333333333,0.5,0.875,6.088949142291392e-06,19612165.04854369
0.0,0.509090909090909,470000,3.8,0.25,0.3333333333333333,0.0,0.0,0.25,8.085106210955187e-05,47000000.0
0.0,0.9636363636363636,9100000,4.3,0.0,0.0833333333333333,0.3333333333333333,1.0,0.3125,4.725274720082116e-06,26504854.36893204
0.0,0.6545454545454545,1399000,4.1,0.0,0.3333333333333333,0.0,0.0,0.3125,2.9306647395949624e-05,139900000.0
0.0,0.1818181818181818,2050000,4.1,0.0,0.2916666666666666,0.0,1.0,0.25,1.9999999902439025e-05,205000000.0
0.0,0.7818181818181817,3205800,4.2,1.0,0.3333333333333333,0.0,1.0,0.25,1.310125393629904e-05,320580000.0
0.0,0.6909090909090909,12650000,4.5,0.0,0.9583333333333331,0.3333333333333333,0.5,0.25,3.5573122501523223e-06,36844660.19417476
0.0,0.9636363636363636,2881110,4.3,0.0,0.3333333333333333,0.0,1.0,0.25,1.4924803235819519e-05,288111000.0
0.0,0.9636363636363636,1392710,4.4,0.0,0.3333333333333333,0.6666666666666666,1.0,0.25,3.159308088838968e-05,2058192.118226601
0.0,0.4363636363636363,3180950,4.0,0.25,0.3333333333333333,0.0,0.0,0.875,1.2574859672189568e-05,318095000.0
0.0,0.7090909090909091,12950000,4.2,0.0,0.9583333333333331,0.3333333333333333,0.5,0.875,3.2432432407388083e-06,37718446.60194175
0.0,0.9636363636363636,4189480,4.4,0.0,0.5,0.6666666666666666,1.0,0.25,1.0502496704835693e-05,6191349.753694582
0.0,0.9636363636363636,9600000,4.1,0.0,0.125,0.3333333333333333,0.5,0.25,4.2708333288845485e-06,27961165.04854369
0.0,0.9636363636363636,8400000,4.1,0.0,0.9166666666666666,0.3333333333333333,1.0,0.25,4.880952375141723e-06,24466019.41747573
0.0,0.6909090909090909,12762000,3.7,0.0,1.0,0.3333333333333333,0.5,0.0,2.8992320930111016e-06,37170873.78640777
0.0,0.9090909090909092,72419000,4.7,0.0,0.5833333333333333,0.0,1.0,0.25,6.490009526990152e-07,7241900000.0
0.0,0.509090909090909,3359000,3.9,0.0,0.1666666666666666,0.6666666666666666,1.0,0.5,1.1610598357813046e-05,4964039.408866995
0.0,0.5818181818181818,1850000,4.2,0.25,0.3333333333333333,0.0,0.0,0.25,2.270270257998539e-05,185000000.0
0.0,0.4363636363636363,3240000,4.3,0.25,0.3333333333333333,0.0,0.0,0.25,1.3271604897309863e-05,324000000.0
0.0,0.7818181818181817,3139000,4.1,1.0,0.3333333333333333,0.0,1.0,0.25,1.306148450760916e-05,313900000.0
0.0,0.3999999999999999,18900000,4.0,0.0,0.5,0.0,1.0,0.4375,2.1164021152823266e-06,1890000000.0
0.0,0.509090909090909,450440,3.9,0.25,0.3333333333333333,0.3333333333333333,0.0,0.25,8.658200678043676e-05,1311961.1650485438
0.0,0.4363636363636363,4540890,4.0,0.0,0.25,0.0,1.0,0.4375,8.808845823596595e-06,454089000.0
0.0,0.9636363636363636,1098000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25,3.642987216366237e-05,109800000.0
0.0,0.1999999999999999,7240000,4.0,0.0,0.7083333333333333,0.3333333333333333,0.5,0.0625,5.524861870822014e-06,21087378.6407767
0.0,0.9090909090909092,55792530,3.7,0.0,0.5416666666666666,0.3333333333333333,0.5,0.25,6.631712165296733e-07,162502514.5631068
0.0,0.4363636363636363,5000000,3.7,0.0,0.25,0.0,1.0,0.4375,7.3999999852e-06,500000000.0
0.0,0.0727272727272727,22971800,2.6,0.0,0.875,0.3333333333333333,1.0,0.25,1.1318224949147117e-06,66908155.33980583
0.0,0.9090909090909092,49600000,5.0,0.0,0.4583333333333333,0.3333333333333333,0.5,0.875,1.0080645159257935e-06,144466019.41747573
0.0,0.0727272727272727,25600000,4.8,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25,1.874999999267578e-06,74563106.7961165
0.0,0.8727272727272727,3200000,4.1,1.0,0.3333333333333333,0.0,1.0,0.25,1.2812499959960939e-05,320000000.0
0.0,0.9818181818181818,18000000,4.0,0.0,0.9583333333333331,0.3333333333333333,1.0,0.3125,2.222222220987654e-06,52427184.46601942
0.0,0.1636363636363636,3850000,4.4,0.0,0.4166666666666666,0.0,1.0,0.25,1.1428571398886829e-05,385000000.0
0.0,0.509090909090909,1180000,2.9,0.0,0.3333333333333333,0.0,0.0,0.3125,2.4576270978167195e-05,118000000.0
0.0,0.1999999999999999,3800000,4.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0526315761772854e-05,11067961.165048543
0.0,0.6909090909090909,17350000,4.8,0.0,1.0,0.3333333333333333,0.5,0.875,2.7665706035927546e-06,50533980.58252427
