category,brand,price,rating,type,energy_rating,height,width,depth,fridge_shelves,freezer_shelves,total_capacity,value_score,volume_m3,form_factor_ratio,price_per_liter,shelf_to_capacity_ratio
0.0,0.4666666666666667,83940000,4.8,0.0,0.25,0.0695002871912693,0.0588235294117647,0.0325900514579759,0.6666666666666666,0.1428571428571428,0.7232779097387173,5.718370263793379e-07,1.332363491710335e-10,1.0098332326936565,114472287.90774514,1.1039795400522294
0.0,0.4666666666666667,49967000,4.4,1.0,0.25,0.0700746697300402,0.7941176470588235,0.0428816466552315,0.3333333333333333,0.2857142857142857,0.4584323040380047,8.805811834049311e-07,2.386257797789177e-09,0.0871447977623031,106668561.43197607,1.3215305898232728
0.0,0.5,68900000,4.8,0.0,0.25,1.0,0.088235294117647,1.0,0.6666666666666666,0.8571428571428572,0.6437054631828979,6.966618286361884e-07,8.823529411764699e-08,10.179640718562881,105399149.74019839,2.3310337906464498
0.0,0.7333333333333333,32000000,4.3,1.0,0.0,0.0821367030442274,0.5588235294117647,0.0480274442538593,0.3333333333333333,0.2857142857142857,0.4940617577197149,1.343749999580078e-06,2.2044559590116505e-09,0.14439751310774207,63484284.43522927,1.2281185977053282
0.0,0.4666666666666667,84000000,4.4,0.2,0.25,0.0695002871912693,0.0588235294117647,0.0325900514579759,0.6666666666666666,0.1428571428571428,0.6258907363420427,5.238095237471655e-07,1.332363491710335e-10,1.0098332326936565,132098165.92581525,1.2730548870401694
0.0,0.1,24900000,3.6,0.2,0.25,0.0798391728891441,0.5294117647058824,0.039451114922813,0.5,0.4285714285714285,0.3598574821852731,1.4457831319494846e-06,1.667511733231038e-09,0.14801155279339692,67323229.07969946,2.5106195583364683
0.0,0.7333333333333333,75000000,3.8,0.2,0.75,0.0763928776565192,0.1176470588235294,0.039451114922813,0.6666666666666666,1.0,0.6508313539192399,5.066666665991111e-07,3.545628465543214e-10,0.5984695484612104,113493404.26296683,2.5220756502881514
0.0,0.4666666666666667,92620000,2.8,0.2,0.25,0.0700746697300402,0.9411764705882352,0.0634648370497426,0.6666666666666666,0.2857142857142857,0.672209026128266,3.023105160545983e-07,4.1856729371590874e-09,0.07367157609218822,135764841.05706626,1.3960251417164475
0.0,0.3,51400000,3.8,0.2,0.25,0.0677771395749569,0.9117647058823528,0.0325900514579759,0.5,0.4285714285714285,0.5736342042755345,7.39299610751109e-07,2.013961013502649e-09,0.07352976214258249,88068861.66619185,1.5910161223742272
0.0,0.1,28090000,4.3,1.0,0.25,0.0809879379666858,0.4705882352941176,0.0343053173241852,0.5,0.4285714285714285,0.3598574821852731,1.5307938762795321e-06,1.3074432524134506e-09,0.16851835317425443,75948172.88549228,2.5106195583364683
0.0,0.9,95736810,4.7,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,1.0,0.7142857142857142,0.7494061757719715,4.909292464945376e-07,8.526199082228122e-10,0.2315528215292349,126067989.77198085,2.25740291424818
0.0,0.7333333333333333,55554000,3.8,0.2,0.0,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.3333333333333333,0.2857142857142857,0.505938242280285,6.840191524131442e-07,8.526199082228122e-10,0.2315528215292349,107675677.91538142,1.1998482925235836
0.0,0.4666666666666667,92585110,4.2,0.2,0.25,0.0700746697300402,0.9411764705882352,0.0634648370497426,0.6666666666666666,0.2857142857142857,0.672209026128266,4.5363665923671345e-07,4.1856729371590874e-09,0.07367157609218822,135713698.37401205,1.3960251417164475
0.0,0.2666666666666666,8154000,4.2,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.0,0.2857142857142857,0.0,5.1508462041319036e-06,8.526199082228122e-10,0.2315528215292349,815400000.0,28.57142857142857
0.0,0.3,68000000,4.6,0.2,0.5,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.5,0.4285714285714285,0.6460807600950119,6.764705881358131e-07,8.526199082228122e-10,0.2315528215292349,103645776.76405632,1.4153309852234581
0.0,0.1,44540000,4.0,1.0,0.25,0.0695002871912693,0.7941176470588235,0.0485420240137221,0.3333333333333333,0.2857142857142857,0.5296912114014252,8.9806915112302e-07,2.6791024842522877e-09,0.08643049614130052,82528673.91400026,1.147040392672187
0.0,0.7333333333333333,73000000,3.8,0.2,0.75,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.6666666666666666,0.2857142857142857,0.6508313539192399,5.205479451341715e-07,8.526199082228122e-10,0.2315528215292349,110466913.48262104,1.4411860858789438
0.0,0.4666666666666667,111850000,4.0,0.2,0.25,0.0704192992533026,0.9705882352941176,0.0771869639794168,0.6666666666666666,0.2857142857142857,0.7779097387173397,3.5762181489873744e-07,5.275585682128663e-09,0.0718133225738539,141957884.89946038,1.2087437247969037
0.0,0.4666666666666667,97503510,3.3,0.2,0.25,0.0700746697300402,0.9411764705882352,0.078902229845626,0.6666666666666666,0.2857142857142857,0.7779097387173397,3.3844935425007266e-07,5.203809597549141e-09,0.07367157609218822,123749593.65108076,1.2087437247969037
0.0,0.1,72520000,4.0,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.6666666666666666,0.1428571428571428,0.6888361045130641,5.515719800673508e-07,8.526199082228122e-10,0.2315528215292349,103772543.4213657,1.1583886469172489
0.0,0.2666666666666666,14150000,4.2,0.4,1.0,0.0120620333141872,0.1764705882352941,0.0085763293310463,0.5,0.2857142857142857,0.0213776722090261,2.968197877760991e-06,1.8255524136091992e-11,0.06468598307292821,450957607.8728241,25.040553693089674
0.0,0.2,28244040,4.2,1.0,0.0,0.0792647903503733,0.4117647058823529,0.0325900514579759,0.5,0.0,0.333729216152019,1.4870393890225903e-06,1.0636885396629626e-09,0.187936044066436,82169448.13765462,1.4546334047405154
0.0,0.2,24000000,4.5,1.0,0.0,0.0763928776565192,0.2941176470588235,0.0343053173241852,0.5,0.2857142857142857,0.2885985748218527,1.8749999992187498e-06,7.7078879685722e-10,0.25119514896727785,80375467.3454777,2.6313397047626625
0.0,0.2666666666666666,13790000,4.6,0.4,1.0,0.0120620333141872,0.1764705882352941,0.0085763293310463,0.5,0.2857142857142857,0.0213776722090261,3.335750541453408e-06,1.8255524136091992e-11,0.06468598307292821,439484481.4534448,25.040553693089674
