category,brand,price,rating,power,blade_material,dimensions,food_prep_features,value_score,price_per_watt,performance_rating
0.0,0.813953488372093,6469000,4.2,0.4848484848484848,0.1764705882352941,0.2,0.0,6.4925026951731295e-06,13072688.303735457,2.036363636363636
0.0,0.8372093023255813,4500000,3.9,0.4242424242424242,0.7647058823529411,0.2,0.0,8.666666647407409e-06,10362875.087229589,1.6545454545454543
0.0,0.813953488372093,5482300,4.1,0.0,0.7058823529411764,0.5777777777777778,0.0,7.4786129772566025e-06,548230000.0,0.0
0.0,0.1860465116279069,3600000,4.0,0.696969696969697,0.1764705882352941,0.2,0.0,1.1111111080246915e-05,5092156.022288898,2.787878787878788
0.0,0.5116279069767442,15100000,4.3,0.1818181818181818,0.1764705882352941,0.2222222222222222,0.0,2.847682117319416e-06,78720379.14691944,0.7818181818181816
0.0,0.813953488372093,5481200,3.9,0.0,0.7058823529411764,0.5777777777777778,0.0,7.1152302285717905e-06,548120000.0,0.0
0.0,0.8837209302325582,11100000,4.1,0.8181818181818182,0.1764705882352941,0.4,0.0,3.693693690366042e-06,13402854.006586168,3.3545454545454545
0.0,0.8372093023255813,9350000,3.9,0.1212121212121212,0.0,0.2,0.0,4.171122990191312e-06,71258660.50808315,0.47272727272727266
0.0,0.9767441860465116,4250000,3.9,0.0303030303030303,0.1764705882352941,0.2,0.0,9.176470566643599e-06,105451127.81954889,0.11818181818181817
0.0,0.813953488372093,5322400,4.4,0.9090909090909092,0.1764705882352941,0.6,0.0,8.266947226313416e-06,5790939.6636993075,4.000000000000001
0.0,1.0,8800000,3.8,0.6666666666666667,0.1764705882352941,0.8444444444444444,0.0,4.318181813274793e-06,13004926.108374383,2.5333333333333337
0.0,0.6511627906976745,6880000,2.9,0.4545454545454546,0.0,0.2,0.0,4.215116272943145e-06,14810176.125244617,1.3181818181818183
0.0,0.6511627906976745,6700000,3.0,0.1818181818181818,0.0,0.2,0.0,4.477611933615505e-06,34928909.95260664,0.5454545454545454
0.0,0.8372093023255813,4242700,3.8,0.4242424242424242,0.7647058823529411,0.0,0.3333333333333333,8.956560659588092e-06,9770348.918353107,1.6121212121212118
0.0,0.8372093023255813,4900000,3.0,0.4242424242424242,0.2352941176470588,0.2,0.0,6.122448967097043e-06,11284019.539427774,1.2727272727272725
0.0,0.9534883720930232,25000000,4.1,0.2727272727272727,0.1764705882352941,0.0222222222222222,0.0,1.6399999993439998e-06,88424437.29903537,1.118181818181818
0.0,0.9534883720930232,34965000,4.5,0.6060606060606061,0.0,0.3555555555555555,0.0,1.2870012866332043e-06,56755779.6360059,2.7272727272727275
0.0,0.2093023255813953,4880000,3.8,0.2424242424242424,0.0,0.2,0.0,7.786885229944907e-06,19332533.013205286,0.921212121212121
0.0,0.8372093023255813,13653000,3.9,0.1818181818181818,0.8823529411764706,0.0444444444444444,0.0,2.8565150495447777e-06,71176777.25118484,0.709090909090909
0.0,0.5813953488372093,10200000,2.5,0.2727272727272727,0.1764705882352941,0.3333333333333333,0.0,2.450980389753941e-06,36077170.418006435,0.6818181818181818
0.0,0.8372093023255813,7600000,3.0,0.0606060606060606,0.0,0.2,0.0,3.947368415858726e-06,107639484.97854078,0.1818181818181818
0.0,0.1860465116279069,4400000,4.0,0.303030303030303,0.7647058823529411,0.2,0.0,9.090909070247935e-06,14056147.14424008,1.212121212121212
0.0,1.0,12700000,4.7,0.7878787878787878,0.0,0.7333333333333334,0.0,3.7007873986607975e-06,15917204.709456895,3.703030303030303
0.0,0.4883720930232558,13400000,2.0,0.2727272727272727,0.9411764705882352,0.8666666666666667,1.0,1.492537312319002e-06,47395498.39228296,0.5454545454545454
0.0,0.6511627906976745,7000000,3.7,0.6060606060606061,0.0,0.2,0.0,5.285714278163265e-06,11362518.445646826,2.2424242424242427
0.0,0.5116279069767442,14500000,1.0,0.2727272727272727,0.7647058823529411,0.4888888888888889,0.3333333333333333,6.896551719381689e-07,51286173.63344052,0.2727272727272727
0.0,0.3488372093023256,12700000,3.9,0.4848484848484848,0.1764705882352941,0.4222222222222222,0.0,3.0708661393142786e-06,25664421.310471527,1.8909090909090907
0.0,0.5116279069767442,14900000,3.0,0.1818181818181818,0.7647058823529411,0.2888888888888889,1.0,2.013422817440656e-06,77677725.11848342,0.5454545454545454
0.0,0.0697674418604651,2150000,3.3,0.6363636363636364,0.0,0.2,0.0,1.5348837137912386e-05,3326300.9845288326,2.0999999999999996
0.0,0.7674418604651163,3675000,4.1,0.2424242424242424,0.0,0.2,0.3333333333333333,1.1156462554676293e-05,14558823.529411767,0.9939393939393938
0.0,0.813953488372093,4875000,4.0,0.9090909090909092,0.7058823529411764,0.4444444444444445,0.0,8.205128188297173e-06,5304154.302670622,3.6363636363636367
0.0,0.5813953488372093,9500000,3.6,0.2727272727272727,0.0,0.2666666666666666,0.0,3.789473680221607e-06,33601286.17363344,0.9818181818181818
0.0,0.7674418604651163,3770000,3.9,0.2424242424242424,0.6470588235294118,0.1333333333333333,0.0,1.0344827558767036e-05,14935174.069627853,0.9454545454545453
0.0,0.627906976744186,8000000,3.6,0.3939393939393939,0.2941176470588235,0.4444444444444445,0.0,4.499999994375e-06,19804951.237809453,1.4181818181818182
0.0,0.8372093023255813,4900000,3.9,0.4242424242424242,0.7647058823529411,0.2,0.0,7.959183657226156e-06,11284019.539427774,1.6545454545454543
0.0,0.6511627906976745,3300000,4.0,0.9393939393939394,0.8235294117647058,0.2,0.3333333333333333,1.2121212084481177e-05,3475901.6916693263,3.757575757575758
