category,brand,price,rating,capacity,energy_rating,height,width,depth,water_consumption,power_consumption,display,door_opening,value_score,price_per_kg,efficiency_score,volume_m3
0.0,0.12,30294270,4.3,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0371681415929203,0.4444444444444444,0.75,0.6153846153846154,1.0,1.4194103368658791e-06,31972844.32717678,0.7783671586715867,2.509758067229699e-11
0.0,0.84,16929000,4.2,0.1875,0.25,0.0472569255839217,0.0325,0.0530973451327433,0.2222222222222222,0.75,0.2307692307692307,0.0,2.480949847905399e-06,85716455.69620253,0.19089366515837103,8.154956184836036e-11
0.0,0.0,30961150,4.0,0.9375,0.75,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.6153846153846154,1.0,1.2919416748757904e-06,32676675.461741425,0.7126266891891891,3.0644176645051265e-11
0.0,0.84,7649000,4.3,0.375,0.0,0.0385659967409016,0.06625,0.0230088495575221,0.5555555555555556,0.75,0.0,0.0,5.62164988152484e-06,19867532.467532467,0.28505067567567566,5.878754812938314e-11
0.0,0.4,22968000,4.0,0.75,0.75,0.0277023356871265,0.0243749999999999,0.0502654867256637,0.5555555555555556,0.75,0.0,1.0,1.7415534649331446e-06,30221052.63157895,0.5701013513513513,3.394149005205883e-11
0.0,0.84,8390000,4.3,0.375,0.75,0.0385659967409016,0.06625,0.0230088495575221,0.5555555555555556,0.625,0.0,0.0,5.125148980780514e-06,21792207.792207792,0.31497900139990664,5.878754812938314e-11
0.0,0.12,23600000,4.3,0.75,0.75,0.0277023356871265,0.0244999999999999,0.0371681415929203,0.5555555555555556,0.75,0.0,1.0,1.8220338975330363e-06,31052631.57894737,0.5701013513513513,2.52262862142062e-11
0.0,0.6,10800000,4.0,0.625,1.0,0.9293862031504616,0.625,0.9823008849557524,0.7777777777777777,0.75,0.1538461538461538,0.0,3.7037037002743486e-06,17007874.01574803,0.4064306358381503,5.705855561377282e-07
0.0,0.0,30489000,4.4,0.8125,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.0,1.0,1.4431434283042593e-06,37068693.00911854,0.6176097972972973,3.406100234097447e-11
0.0,0.6,5489000,3.9,0.0,0.75,0.0430200977729494,0.0224999999999999,0.0407079646017699,0.6666666666666666,1.0,0.0,0.0,7.105119316623941e-06,548900000.0,0.0,3.9403363889382666e-11
0.0,0.0,36756100,4.5,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.3846153846153846,1.0,1.2242865806697973e-06,38792717.678100266,0.7126266891891891,3.406100234097447e-11
0.0,0.84,31000000,4.5,0.9375,0.75,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.0,1.0,1.4516129027575441e-06,32717678.100263853,0.7126266891891891,3.0644176645051265e-11
0.0,0.4,38280000,4.2,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.1111111111111111,0.75,0.1538461538461538,1.0,1.0971786830989607e-06,40401055.408970974,1.0762117346938775,3.406100234097447e-11
0.0,0.84,28086200,4.3,0.8125,0.75,0.0277023356871265,0.0249999999999999,0.0336283185840707,0.5555555555555556,0.75,0.6153846153846154,1.0,1.5310009892648343e-06,34147355.6231003,0.6176097972972973,2.3289574250238935e-11
