category,brand,price,rating,juice_container_capacity,input_size,pulp_container_desc,value_score
0.0,0.5694444444444444,7560000,4.0,1.0,0.5333333333333333,0.3695652173913043,5.291005284006607e-06
0.0,0.8888888888888888,4999100,4.0,0.2272727272727273,0.3,0.4782608695652174,8.001440243240904e-06
0.0,0.9027777777777776,15000000,3.8,0.5,0.3,0.4782608695652174,2.5333333316444445e-06
0.0,0.6805555555555555,8990000,4.0,0.0454545454545454,0.6,0.8043478260869565,4.449388204171982e-06
0.0,0.8472222222222222,9750000,4.0,0.2272727272727273,0.4666666666666667,0.7826086956521738,4.1025640983563445e-06
0.0,0.8888888888888888,3365000,4.1,0.0909090909090909,0.3,0.4565217391304347,1.218424959232021e-05
0.0,0.8888888888888888,2104200,3.9,0.0,0.2333333333333333,0.108695652173913,1.8534359763642433e-05
0.0,0.2638888888888889,4400000,4.1,0.8181818181818182,0.3,0.6086956521739131,9.318181797004133e-06
0.0,0.8888888888888888,5100000,3.9,0.0909090909090909,0.1,0.3913043478260869,7.64705880853518e-06
0.0,0.5972222222222222,8200000,4.1,0.3181818181818182,0.3,0.6739130434782609,4.999999993902439e-06
0.0,0.875,4350000,3.7,0.6818181818181819,0.9666666666666668,0.7608695652173912,8.505747106883341e-06
0.0,0.3472222222222222,3150000,4.1,0.2727272727272727,0.2666666666666666,0.5434782608695652,1.3015872974552785e-05
0.0,0.9027777777777776,6000000,3.2,0.2272727272727273,0.8333333333333334,0.8913043478260869,5.3333333244444445e-06
0.0,0.625,6400000,3.3,0.2272727272727273,0.3,0.108695652173913,5.15624999194336e-06
0.0,0.7083333333333333,658220,3.2,0.2272727272727273,0.3,0.108695652173913,4.861596352866878e-05
0.0,0.625,9420600,3.7,0.1363636363636363,0.3,0.4130434782608695,3.927562996064409e-06
0.0,0.625,5950000,4.0,0.2272727272727273,0.3,0.108695652173913,6.722689064331615e-06
0.0,0.2777777777777778,3470000,4.1,0.1363636363636363,0.3,0.1956521739130434,1.1815561925603568e-05
0.0,0.75,4700000,4.4,0.0,0.3,0.2608695652173913,9.36170210774106e-06
