category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity,image_path,product_url
پلوپز,پارس خزر,5137400.0,3.0,8.0,nan,تفلون,استیل آبکاری شده,,D:/پلوپز/image_17.jpg,https://www.digikala.com/product/dkp-45670/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-181tse/
پلوپز,فلر,10000000.0,4.2,8.0,تایمر,با پوشش سرامیک,استیل,1.8,D:/پلوپز/image_18.jpg,https://www.digikala.com/product/dkp-145411/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%D9%84%D8%B1-%D9%85%D8%AF%D9%84-rc99/
پلوپز,گوسونیک,4650000.0,4.3,4.0,نمایشگر برنامه پخت دکمه‌های لمسی قابلیت تنظیم دما تایمر,آلمینیوم با پوشش تفلن,استیل,5.0,D:/پلوپز/image_19.jpg,https://www.digikala.com/product/dkp-17100076/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-grc-690/
پلوپز,گوسونیک,6100000.0,3.8,8.0,تایمر,تفلون,nan,1.8,D:/پلوپز/image_20.jpg,https://www.digikala.com/product/dkp-566620/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%DA%AF%D9%88%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-grc-688/
پلوپز,پارس خزر,4099900.0,4.6,12.0,تایمر,تفلون نچسب,استیل آبکاری شده,2.7,D:/پلوپز/image_21.jpg,https://www.digikala.com/product/dkp-3871580/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc-271-tsw/
پلوپز,ویداس,4600000.0,4.1,2.0,nan,nan,استیل,1.8,D:/پلوپز/image_22.jpg,https://www.digikala.com/product/dkp-491111/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%88%DB%8C%D8%AF%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-vir-5432/
پلوپز,پارس خزر,4100000.0,4.2,12.0,nan,تفلون نچسب,پلیمری مقاوم در برابر حرارت,2.7,D:/پلوپز/image_23.jpg,https://www.digikala.com/product/dkp-2548899/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-rc271tsp-%DA%A9%D9%86%D8%AF%D9%88%D8%AC/
پلوپز,فیلیپس,7500000.0,3.6,,nan,nan,استیل - پلاستیک,2.0,D:/پلوپز/image_24.jpg,https://www.digikala.com/product/dkp-13249484/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd3138/
پلوپز,فیلیپس,12641610.0,4.0,8.0,تایمر,سرامیک,ترکیبی از استیل ضد زنگ و پلاستیک,1.8,D:/پلوپز/image_25.jpg,https://www.digikala.com/product/dkp-4824678/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-hd3038-fuzzy-logic/
پلوپز,میگل,5500000.0,4.3,8.0,nan,nan,استیل,4.0,D:/پلوپز/image_26.jpg,https://www.digikala.com/product/dkp-3820757/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%DB%8C%DA%AF%D9%84-%D9%85%D8%AF%D9%84-grc-700/
