category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth,image_path,product_url
اجاق گاز,هاکان,4655000,3.5,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_15.jpg,https://www.digikala.com/product/dkp-13529858/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%B1%D9%88-%D8%B4%DB%8C%D8%B4%D9%87-%D9%81%D9%86%D8%AF%DA%A9-%D8%AF%D8%A7%D8%B1-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8/
اجاق گاز,اخوان,27180000,4.2,پنج شعله,استیل خش دار,nan,94,90,nan,60,D:/اجاق گاز/image_16.jpg,https://www.digikala.com/product/dkp-12087229/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-m9-edtr/
اجاق گاز,دنپاسر,4992000,3.7,پنج شعله,ام‌دی‌اف,nan,nan,90,90,60,D:/اجاق گاز/image_17.jpg,https://www.digikala.com/product/dkp-12423017/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-denmdf4d/
اجاق گاز,اسنوا,19159270,4.3,پنج شعله,استیل,چدنی,90,95,65,85,D:/اجاق گاز/image_18.jpg,https://www.digikala.com/product/dkp-13900904/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-11102/
اجاق گاز,آذر افروز پویا,4704000,2.4,پنج شعله,آهن,nan,nan,88,80,60,D:/اجاق گاز/image_19.jpg,https://www.digikala.com/product/dkp-12186864/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A2%D8%B0%D8%B1-%D8%A7%D9%81%D8%B1%D9%88%D8%B2-%D9%BE%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-aztech/
اجاق گاز,اسنوا,21800000,4.0,پنج شعله,لعاب سفید,nan,nan,86,90,60,D:/اجاق گاز/image_20.jpg,https://www.digikala.com/product/dkp-17227067/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-6212/
اجاق گاز,اسنوا,37400000,4.4,پنج شعله,استیل,nan,nan,86,nan,60,D:/اجاق گاز/image_21.jpg,https://www.digikala.com/product/dkp-8954284/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-7111/
اجاق گاز,بوگر,11500000,4.4,پنج شعله,استیل ضدزنگ,چدن,nan,90,87,45,D:/اجاق گاز/image_22.jpg,https://www.digikala.com/product/dkp-16322071/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A8%D9%88%DA%AF%D8%B1-%D9%85%D8%AF%D9%84-%DB%B9%DB%B0%DB%B4-%D9%BE%D9%84%D8%A7%D8%B3/
اجاق گاز,هاکان,7695000,2.8,پنج شعله,nan,nan,nan,nan,nan,nan,D:/اجاق گاز/image_23.jpg,https://www.digikala.com/product/dkp-15889058/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1%D8%A8-%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D8%A8%D9%88%D8%B4-%D8%A8%D8%A7-%D8%AA%D8%B1%D9%85%D9%88%DA%A9%D9%88%D9%BE%D9%84/
اجاق گاز,هاکان,5985000,1.0,nan,nan,nan,nan,nan,nan,nan,D:/اجاق گاز/image_24.jpg,https://www.digikala.com/product/dkp-15832082/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8-%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D8%A8%D9%88%D8%B4/
