category,brand,price,rating,capacity,baskets,height,width,depth,compactness
0.0,0.4375,38599000,4.2,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,88.74027546803283
0.0,0.1875,29255200,4.3,0.8888888888888887,0.5,0.0385587863463969,0.0124314442413162,0.0330404217926186,88.74833245606548
0.0,0.0625,34181050,4.3,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,88.74027546803283
0.0,0.9375,38499000,4.2,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.9375,30978000,4.3,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.4375,42900000,4.0,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,88.74027546803283
0.0,0.75,31900000,4.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0625,37252100,3.8,0.8888888888888887,0.5,0.0385587863463969,0.0127970749542961,0.0333919156414762,88.74266851569203
0.0,1.0,37016300,4.1,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.9375,25900000,3.6,0.7777777777777778,0.0,0.0391908975979772,0.0127970749542961,0.0333919156414762,77.64774103452875
0.0,0.9375,35000000,4.5,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.9375,31900000,4.4,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.1875,36900000,4.4,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,88.74027546803283
0.0,0.9375,26200000,3.4,0.7777777777777778,0.0,0.0391908975979772,0.0127970749542961,0.0333919156414762,77.64774103452875
0.0,0.4375,32480000,4.2,0.6666666666666666,0.0,0.0391908975979772,0.0127970749542961,0.0333919156414762,66.55520660102464
0.0,0.0,85944000,3.0,1.0,0.5,1.0,0.992687385740402,1.0,0.9973198169453209
0.0,0.0625,33360000,4.3,0.7777777777777778,0.5,0.038685208596713,0.0127970749542961,0.0333919156414762,77.6494161588556
0.0,0.9375,36181000,3.9,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.4375,34250000,4.0,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.375,33605500,4.8,1.0,0.5,0.0385587863463969,0.0124314442413162,0.0333919156414762,99.84019450995754
0.0,0.0625,31000000,4.4,0.7777777777777778,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,77.64774103452875
0.0,0.8125,38855000,4.0,0.8888888888888887,0.5,0.9936788874841972,1.0,0.9824253075571177,0.9013132334508617
0.0,0.9375,32000000,4.15,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.375,41880000,5.0,1.0,0.5,0.0385587863463969,0.0124314442413162,0.0333919156414762,99.84019450995754
0.0,0.6875,39000000,4.9,1.0,0.5,1.0,1.0,0.9824253075571177,1.0076325063309073
0.0,0.5,32290000,4.0,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,1.0,37800000,3.0,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.375,27990000,3.9,0.8888888888888887,0.5,0.0385587863463969,0.0127970749542961,0.0333919156414762,88.74266851569203
0.0,0.375,31400000,3.5,1.0,0.5,0.0385587863463969,0.0124314442413162,0.0351493848857644,99.83179784186493
0.0,0.375,33640000,3.0,1.0,0.5,0.0385587863463969,0.0124314442413162,0.0333919156414762,99.84019450995754
0.0,0.375,34000000,4.3,0.8888888888888887,0.5,0.0385587863463969,0.0124314442413162,0.0333919156414762,88.74683956440668
0.0,0.875,44100000,2.7,1.0,0.5,0.0366624525916561,0.0127970749542961,0.0333919156414762,99.84357948726945
0.0,0.4375,39700000,4.1,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.375,38000000,4.2,0.8888888888888887,0.5,0.0328697850821744,0.0127970749542961,0.0333919156414762,88.76421175400566
0.0,0.875,47500000,4.2,1.0,0.5,0.0278128950695322,0.0127970749542961,0.0333919156414762,99.88129134231347
0.0,0.375,33400000,4.15,0.8888888888888887,0.5,0.0385587863463969,0.0124314442413162,0.0333919156414762,88.74683956440668
0.0,0.125,41500000,4.15,0.8888888888888887,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,88.74027546803283
0.0,0.375,32025800,4.15,0.8888888888888887,0.5,0.0385587863463969,0.0124314442413162,0.0333919156414762,88.74683956440668
0.0,0.25,41000000,4.15,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.625,39000000,4.15,0.2222222222222222,0.0,0.0063211125158027,0.0036563071297989,0.015817223198594,22.221409881839236
0.0,0.875,42100000,2.7,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.3125,37990000,4.15,1.0,0.5,0.0391908975979772,0.0219378427787934,0.0246045694200351,99.78890538333548
0.0,0.5625,32980000,4.15,1.0,0.5,0.0391908975979772,0.0127970749542961,0.0333919156414762,99.83280990153696
0.0,0.75,42000000,3.6,0.2222222222222222,1.0,0.6270543615676359,0.9890310786106032,0.9753954305799648,0.36138567093172724
