category,brand,price,rating,capacity,energy_rating,height,width,depth,water_consumption,power_consumption,display,door_opening,price_per_kg,efficiency_score,volume_m3
0.0,0.12,30294270,4.3,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0371681415929203,0.4444444444444444,0.75,0.6153846153846154,1.0,31972844.32717678,0.7783671586715867,2.509758067229699e-11
0.0,0.84,16929000,4.2,0.1875,0.25,0.0472569255839217,0.0325,0.0530973451327433,0.2222222222222222,0.75,0.2307692307692307,0.0,85716455.69620253,0.19089366515837103,8.154956184836036e-11
0.0,0.0,30961150,4.0,0.9375,0.75,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.6153846153846154,1.0,32676675.461741425,0.7126266891891891,3.0644176645051265e-11
0.0,0.84,7649000,4.3,0.375,0.0,0.0385659967409016,0.06625,0.0230088495575221,0.5555555555555556,0.75,0.0,0.0,19867532.467532467,0.28505067567567566,5.878754812938314e-11
0.0,0.4,22968000,4.0,0.75,0.75,0.0277023356871265,0.0243749999999999,0.0502654867256637,0.5555555555555556,0.75,0.0,1.0,30221052.63157895,0.5701013513513513,3.394149005205883e-11
0.0,0.84,8390000,4.3,0.375,0.75,0.0385659967409016,0.06625,0.0230088495575221,0.5555555555555556,0.625,0.0,0.0,21792207.792207792,0.31497900139990664,5.878754812938314e-11
0.0,0.12,23600000,4.3,0.75,0.75,0.0277023356871265,0.0244999999999999,0.0371681415929203,0.5555555555555556,0.75,0.0,1.0,31052631.57894737,0.5701013513513513,2.52262862142062e-11
0.0,0.6,10800000,4.0,0.625,1.0,0.9293862031504616,0.625,0.9823008849557524,0.7777777777777777,0.75,0.1538461538461538,0.0,17007874.01574803,0.4064306358381503,5.705855561377282e-07
0.0,0.0,30489000,4.4,0.8125,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.0,1.0,37068693.00911854,0.6176097972972973,3.406100234097447e-11
0.0,0.6,5489000,3.9,0.0,0.75,0.0430200977729494,0.0224999999999999,0.0407079646017699,0.6666666666666666,1.0,0.0,0.0,548900000.0,0.0,3.9403363889382666e-11
0.0,0.0,36756100,4.5,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.3846153846153846,1.0,38792717.678100266,0.7126266891891891,3.406100234097447e-11
0.0,0.84,31000000,4.5,0.9375,0.75,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.0,1.0,32717678.100263853,0.7126266891891891,3.0644176645051265e-11
0.0,0.4,38280000,4.2,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.1111111111111111,0.75,0.1538461538461538,1.0,40401055.408970974,1.0762117346938775,3.406100234097447e-11
0.0,0.84,28086200,4.3,0.8125,0.75,0.0277023356871265,0.0249999999999999,0.0336283185840707,0.5555555555555556,0.75,0.6153846153846154,1.0,34147355.6231003,0.6176097972972973,2.3289574250238935e-11
0.0,0.4,24434950,4.9,0.75,0.75,0.0277023356871265,0.0243749999999999,0.0502654867256637,0.5555555555555556,0.75,0.0,1.0,32151250.0,0.5701013513513513,3.394149005205883e-11
0.0,0.4,35169000,5.0,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.6153846153846154,1.0,37117678.10026385,0.7126266891891891,3.406100234097447e-11
0.0,0.44,10619000,3.3,0.4375,0.75,0.0461705594785442,0.075,0.0460176991150442,1.0,0.375,0.5384615384615385,0.0,23729608.938547485,0.315884476534296,1.593497185542674e-10
0.0,0.4,32720000,4.6,0.8125,0.75,0.0277023356871265,0.0249999999999999,0.0513274336283185,0.5555555555555556,0.75,0.0,1.0,39781155.01519757,0.6176097972972973,3.554724490825947e-11
0.0,0.6,10999000,3.2,0.5625,0.0,0.0179250407387289,0.0049999999999999,0.015929203539823,0.1111111111111111,0.75,0.1538461538461538,0.0,19212227.074235808,0.6457270408163265,1.427658111934131e-12
0.0,0.0,33006500,4.5,0.9375,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.7692307692307693,1.0,34835356.200527705,0.7126266891891891,3.406100234097447e-11
0.0,0.84,6699000,4.2,1.0,0.0,0.0429114611624117,0.0475,0.0194690265486725,0.5555555555555556,0.625,0.0,0.0,6632673.267326732,0.8399440037330844,3.968360788913281e-11
0.0,0.0,33600000,4.6,0.9375,0.75,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.6153846153846154,1.0,35461741.42480211,0.7126266891891891,3.0644176645051265e-11
0.0,0.4,27835550,4.5,0.8125,0.75,0.0249864204236827,0.0243749999999999,0.0442477876106194,0.5555555555555556,0.75,0.6153846153846154,1.0,33842613.981762916,0.6176097972972973,2.6948849461383286e-11
0.0,0.84,31782000,4.4,0.9375,0.5,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.6153846153846154,1.0,33543007.915567283,0.7126266891891891,3.0644176645051265e-11
0.0,0.84,32327400,4.4,0.9375,0.75,0.0277023356871265,0.0249999999999999,0.0442477876106194,0.5555555555555556,0.75,0.0,1.0,34118627.96833773,0.7126266891891891,3.0644176645051265e-11
0.0,0.0,28998000,4.1,0.8125,0.75,0.0277023356871265,0.0243749999999999,0.0504424778761061,0.5555555555555556,0.75,0.1538461538461538,1.0,35255927.05167173,0.6176097972972973,3.406100234097447e-11
