category,brand,price,rating,type,energy_rating,height,width,depth,fridge_shelves,freezer_shelves,total_capacity,volume_m3,form_factor_ratio,shelf_to_capacity_ratio
0.0,0.2666666666666666,8546700,4.3,0.6000000000000001,0.0,0.0120620333141872,0.1470588235294117,0.0102915951972555,0.3333333333333333,0.0,0.0296912114014251,1.825552413609188e-11,0.07679946304913202,8.398164771593873
0.0,0.3,43600000,4.4,0.2,0.0,0.0676622630672027,1.0,0.0274442538593481,0.6666666666666666,0.5714285714285714,0.5783847980997625,1.8569403243143042e-09,0.06699233967049772,2.104227101199367
0.0,0.3,28905330,4.4,0.8,0.25,0.0723721998851234,0.4117647058823529,0.0634648370497426,0.5,0.1428571428571428,0.5581947743467933,1.891272300499135e-09,0.17159377936500667,1.1314027722204638
0.0,0.2666666666666666,11700000,4.1,0.6000000000000001,0.0,0.0281447443997702,0.2647058823529412,0.0154373927958833,0.3333333333333333,0.0,0.1140142517814727,1.1500980205737952e-10,0.102454101669399,2.6878631168996994
0.0,0.5,39000000,4.2,1.0,0.0,0.0752441125789776,0.8823529411764706,0.0514579759862778,0.3333333333333333,0.2857142857142857,0.6033254156769596,3.4163909454686578e-09,0.08432102266596041,1.0093297998491446
0.0,0.5,34100000,4.2,0.8,0.0,0.0717978173463526,0.8823529411764706,0.0445969125214408,0.5,0.1428571428571428,0.6009501187648456,2.825259687728534e-09,0.08045899109347358,1.052225252295234
0.0,0.5,58390000,4.0,0.0,0.25,0.0695002871912693,0.3235294117647059,0.0274442538593481,0.6666666666666666,0.0,0.6448931116389549,6.170946698447863e-10,0.20837828611138942,1.0179778269437694
0.0,0.2666666666666666,15980000,3.9,0.8,1.0,0.0537047673750717,0.2352941176470588,0.0205831903945111,0.3333333333333333,0.1428571428571428,0.176959619952494,2.600977534056538e-10,0.21894029865137146,2.54702312890599
0.0,0.3,45000000,4.1,0.2,0.25,0.0676622630672027,1.0,0.0454545454545454,0.5,0.4285714285714285,0.6330166270783848,3.0755574121455737e-09,0.06699233967049772,1.4440861860609928
0.0,0.8,57169000,3.8,0.0,0.25,0.0735209649626651,0.6176470588235294,0.0205831903945111,0.6666666666666666,0.2857142857142857,0.992874109263658,9.346828357679123e-10,0.11713743246160324,0.9496515500636672
0.0,0.2666666666666666,7850000,4.0,0.4,0.25,0.0,0.1764705882352941,0.0102915951972555,0.1666666666666666,0.2857142857142857,0.0,0.0,0.0,45.238095238095234
0.0,0.3,43000000,4.2,0.2,0.25,0.0723721998851234,0.8823529411764706,0.0356775300171526,0.3333333333333333,0.2857142857142857,0.4334916864608076,2.2782894121842863e-09,0.08110266302222136,1.3958494329122577
0.0,0.5,27900000,4.3,1.0,0.25,0.0815623205054566,0.3529411764705882,0.0291595197255574,0.6666666666666666,0.2857142857142857,0.3942992874109263,8.394063859909752e-10,0.2247260046341592,2.355633517139892
0.0,0.4666666666666667,100000000,3.0,0.2,0.25,0.0704192992533026,1.0,0.0771869639794168,0.6666666666666666,0.2857142857142857,0.7779097387173397,5.43545191492044e-09,0.06972207846861644,1.2087437247969037
0.0,0.4666666666666667,29500000,4.0,1.0,0.25,0.0786904078116025,0.4411764705882353,0.0360205831903945,0.5,0.2857142857142857,0.3598574821852731,1.2505034033223075e-09,0.1744115948888191,2.124370395515473
0.0,0.5,63860000,4.1,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.5,0.2857142857142857,0.6377672209026128,8.526199082228122e-10,0.2315528215292349,1.2129577730399115
0.0,0.4666666666666667,83940000,4.8,0.0,0.25,0.0695002871912693,0.0588235294117647,0.0325900514579759,0.6666666666666666,0.1428571428571428,0.7232779097387173,1.332363491710335e-10,1.0098332326936565,1.1039795400522294
0.0,0.4666666666666667,49967000,4.4,1.0,0.25,0.0700746697300402,0.7941176470588235,0.0428816466552315,0.3333333333333333,0.2857142857142857,0.4584323040380047,2.386257797789177e-09,0.0871447977623031,1.3215305898232728
0.0,0.5,68900000,4.8,0.0,0.25,1.0,0.088235294117647,1.0,0.6666666666666666,0.8571428571428572,0.6437054631828979,8.823529411764699e-08,10.179640718562881,2.3310337906464498
0.0,0.7333333333333333,32000000,4.3,1.0,0.0,0.0821367030442274,0.5588235294117647,0.0480274442538593,0.3333333333333333,0.2857142857142857,0.4940617577197149,2.2044559590116505e-09,0.14439751310774207,1.2281185977053282
0.0,0.4666666666666667,84000000,4.4,0.2,0.25,0.0695002871912693,0.0588235294117647,0.0325900514579759,0.6666666666666666,0.1428571428571428,0.6258907363420427,1.332363491710335e-10,1.0098332326936565,1.2730548870401694
0.0,0.1,24900000,3.6,0.2,0.25,0.0798391728891441,0.5294117647058824,0.039451114922813,0.5,0.4285714285714285,0.3598574821852731,1.667511733231038e-09,0.14801155279339692,2.5106195583364683
0.0,0.7333333333333333,75000000,3.8,0.2,0.75,0.0763928776565192,0.1176470588235294,0.039451114922813,0.6666666666666666,1.0,0.6508313539192399,3.545628465543214e-10,0.5984695484612104,2.5220756502881514
0.0,0.4666666666666667,92620000,2.8,0.2,0.25,0.0700746697300402,0.9411764705882352,0.0634648370497426,0.6666666666666666,0.2857142857142857,0.672209026128266,4.1856729371590874e-09,0.07367157609218822,1.3960251417164475
0.0,0.3,51400000,3.8,0.2,0.25,0.0677771395749569,0.9117647058823528,0.0325900514579759,0.5,0.4285714285714285,0.5736342042755345,2.013961013502649e-09,0.07352976214258249,1.5910161223742272
0.0,0.1,28090000,4.3,1.0,0.25,0.0809879379666858,0.4705882352941176,0.0343053173241852,0.5,0.4285714285714285,0.3598574821852731,1.3074432524134506e-09,0.16851835317425443,2.5106195583364683
0.0,0.9,95736810,4.7,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,1.0,0.7142857142857142,0.7494061757719715,8.526199082228122e-10,0.2315528215292349,2.25740291424818
