category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material
0.0,0.5818181818181818,6817000,4.3,0.0,0.41666666666666663,0.3333333333333333,0.5,0.4375
0.0,0.9636363636363636,6733510,4.1,0.0,0.7083333333333333,0.3333333333333333,0.5,0.875
0.0,0.509090909090909,470000,3.8,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.9636363636363636,9100000,4.3,0.0,0.08333333333333333,0.3333333333333333,1.0,0.3125
0.0,0.6545454545454545,1399000,4.1,0.0,0.3333333333333333,0.0,0.0,0.3125
0.0,0.18181818181818182,2050000,4.1,0.0,0.29166666666666663,0.0,1.0,0.25
0.0,0.7818181818181817,3205800,4.2,1.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.6909090909090909,12650000,4.5,0.0,0.9583333333333333,0.3333333333333333,0.5,0.25
0.0,0.9636363636363636,2881110,4.3,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.9636363636363636,1392710,4.4,0.0,0.3333333333333333,0.6666666666666666,1.0,0.25
0.0,0.43636363636363634,3180950,4.0,0.25,0.3333333333333333,0.0,0.0,0.875
0.0,0.7090909090909091,12950000,4.2,0.0,0.9583333333333333,0.3333333333333333,0.5,0.875
0.0,0.9636363636363636,4189480,4.4,0.0,0.5,0.6666666666666666,1.0,0.25
0.0,0.9636363636363636,9600000,4.1,0.0,0.125,0.3333333333333333,0.5,0.25
0.0,0.9636363636363636,8400000,4.1,0.0,0.9166666666666666,0.3333333333333333,1.0,0.25
0.0,0.6909090909090909,12762000,3.7,0.0,1.0,0.3333333333333333,0.5,0.0
0.0,0.9090909090909091,72419000,4.7,0.0,0.5833333333333333,0.0,1.0,0.25
0.0,0.509090909090909,3359000,3.9,0.0,0.16666666666666666,0.6666666666666666,1.0,0.5
0.0,0.5818181818181818,1850000,4.2,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.43636363636363634,3240000,4.3,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.7818181818181817,3139000,4.1,1.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.39999999999999997,18900000,4.0,0.0,0.5,0.0,1.0,0.4375
0.0,0.509090909090909,450440,3.9,0.25,0.3333333333333333,0.3333333333333333,0.0,0.25
0.0,0.43636363636363634,4540890,4.0,0.0,0.25,0.0,1.0,0.4375
0.0,0.9636363636363636,1098000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.19999999999999998,7240000,4.0,0.0,0.7083333333333333,0.3333333333333333,0.5,0.0625
0.0,0.9090909090909091,55792530,3.7,0.0,0.5416666666666666,0.3333333333333333,0.5,0.25
0.0,0.43636363636363634,5000000,3.7,0.0,0.25,0.0,1.0,0.4375
0.0,0.07272727272727272,22971800,2.6,0.0,0.875,0.3333333333333333,1.0,0.25
0.0,0.9090909090909091,49600000,5.0,0.0,0.4583333333333333,0.3333333333333333,0.5,0.875
0.0,0.07272727272727272,25600000,4.8,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25
0.0,0.8727272727272727,3200000,4.1,1.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.9818181818181818,18000000,4.0,0.0,0.9583333333333333,0.3333333333333333,1.0,0.3125
0.0,0.16363636363636364,3850000,4.4,0.0,0.41666666666666663,0.0,1.0,0.25
0.0,0.509090909090909,1180000,2.9,0.0,0.3333333333333333,0.0,0.0,0.3125
0.0,0.19999999999999998,3800000,4.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25
0.0,0.6909090909090909,17350000,4.8,0.0,1.0,0.3333333333333333,0.5,0.875
0.0,0.03636363636363636,705000,3.6,0.0,0.041666666666666664,0.0,1.0,0.3125
0.0,0.10909090909090909,4988910,5.0,0.0,0.41666666666666663,0.0,1.0,0.25
0.0,0.8909090909090909,11499000,5.0,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.43636363636363634,6500000,4.3,1.0,0.25,0.3333333333333333,1.0,0.3125
0.0,0.5818181818181818,5900000,2.5,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25
0.0,1.0,890000,3.2,0.25,0.3333333333333333,0.6666666666666666,0.0,0.3125
0.0,0.2545454545454545,1629000,4.0,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.7272727272727273,940000,4.2,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.6,6700000,4.9,0.0,0.5,0.3333333333333333,0.5,0.375
0.0,0.9090909090909091,70501000,5.0,0.0,0.5416666666666666,0.3333333333333333,0.5,0.875
0.0,0.16363636363636364,1690000,4.2,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.9090909090909091,72313400,5.0,0.0,0.5416666666666666,0.3333333333333333,0.5,0.25
0.0,0.3090909090909091,4300000,4.3,0.0,0.5,0.0,1.0,0.25
0.0,0.5272727272727272,4400000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.41818181818181815,1100000,4.1,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.5272727272727272,4370000,4.0,0.0,0.3333333333333333,0.0,0.5,0.25
0.0,0.0,8000000,5.0,0.0,0.9166666666666666,0.3333333333333333,0.5,0.25
0.0,0.43636363636363634,3400000,4.1,0.25,0.3333333333333333,0.0,0.0,0.25
0.0,0.19999999999999998,1580000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25
0.0,0.43636363636363634,35000000,4.1,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25
0.0,0.2727272727272727,897000,3.5,0.0,0.3333333333333333,0.0,1.0,0.3125
0.0,0.6,4410000,4.3,0.0,0.16666666666666666,0.0,1.0,0.9375
0.0,0.07272727272727272,24500000,3.3,0.0,0.9166666666666666,0.0,0.5,0.25
