category,brand,price,rating,capacity_people,capacity,cleaning_features,display_desc,features
0.0,0.5238095238095237,8706480,4.0,0.29411764705882354,0.20353982300884954,0.9473684210526315,0.3380281690140845,0.2692307692307693
0.0,0.5238095238095237,5230000,4.1,0.05882352941176472,0.11946902654867256,0.9473684210526315,0.1267605633802817,0.2692307692307693
0.0,0.738095238095238,12980000,4.1,0.5294117647058822,0.4247787610619469,0.9473684210526315,0.26760563380281693,0.2692307692307693
0.0,0.16666666666666666,6486000,4.1,0.29411764705882354,0.2256637168141593,0.9473684210526315,0.8028169014084507,0.576923076923077
0.0,0.9761904761904762,5870000,4.2,0.4705882352941177,0.24778761061946902,0.3684210526315789,0.9154929577464789,0.2692307692307693
0.0,0.45238095238095233,5610000,4.0,0.23529411764705882,0.4690265486725663,0.9473684210526315,0.1971830985915493,0.2692307692307693
0.0,0.5238095238095237,8600000,4.4,0.11764705882352944,0.21238938053097345,0.9473684210526315,0.647887323943662,0.9807692307692308
0.0,0.5238095238095237,13430000,4.0,0.1764705882352941,0.21238938053097345,0.9473684210526315,0.6901408450704225,0.7115384615384616
0.0,0.9761904761904762,6700000,4.4,0.23529411764705882,0.2256637168141593,0.9473684210526315,0.8028169014084507,0.09615384615384616
0.0,0.16666666666666666,6950000,4.4,0.29411764705882354,0.2920353982300885,0.05263157894736842,0.8028169014084507,0.25
0.0,0.5238095238095237,7950000,3.8,0.23529411764705882,0.21238938053097345,0.8421052631578947,0.8028169014084507,0.4807692307692308
0.0,0.5238095238095237,14968110,4.0,0.23529411764705882,0.24778761061946902,0.9473684210526315,0.8028169014084507,0.2692307692307693
0.0,0.5238095238095237,6100000,4.1,0.05882352941176472,0.11946902654867256,0.9473684210526315,0.8028169014084507,0.40384615384615385
0.0,0.6904761904761905,19275000,4.1,0.29411764705882354,0.2920353982300885,0.3684210526315789,0.38028169014084506,0.19230769230769232
