category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth
0.0,0.36,10500000,3.8,0.8333333333333333,0.15384615384615385,0.4444444444444444,0.3333333333333333,0.9444444444444444,0.849906191369606,0.2777777777777778
0.0,0.64,31408350,4.4,1.0,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9888888888888889,0.9061913696060038,0.6666666666666666
0.0,0.88,4750000,3.6,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.4444444444444444
0.0,0.36,12000000,3.8,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.2777777777777778
0.0,0.36,11100000,3.8,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.2777777777777778
0.0,0.36,13000000,4.2,0.8333333333333333,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.2777777777777778
0.0,0.28,27250000,4.3,0.8333333333333333,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111
0.0,0.6,6174000,3.1,0.8333333333333333,0.07692307692307693,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.611111111111111
0.0,0.64,30740000,4.1,0.8333333333333333,0.3076923076923077,0.4444444444444444,0.3333333333333333,0.9888888888888889,0.9061913696060038,0.6666666666666666
0.0,0.88,4940000,4.1,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.4444444444444444
0.0,0.28,29608060,4.5,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111
0.0,0.64,33008020,4.3,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9888888888888889,0.43714821763602263,0.9444444444444444
0.0,0.28,26100000,4.2,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.0,0.9,0.9061913696060038,0.611111111111111
0.0,0.28,29950720,4.2,0.8333333333333333,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.9,0.9061913696060038,0.611111111111111
0.0,0.88,4655000,3.5,0.8333333333333333,0.5384615384615385,0.6666666666666666,0.3333333333333333,0.9444444444444444,0.9061913696060038,0.4444444444444444
