category,brand,price,rating,capacity,baskets,height,width,depth
0.0,0.4375,38599000,4.2,0.8888888888888887,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.1875,29255200,4.3,0.8888888888888887,0.5,0.038558786346396964,0.012431444241316272,0.033040421792618624
0.0,0.0625,34181050,4.3,0.8888888888888887,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.9375,38499000,4.2,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.9375,30978000,4.3,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.4375,42900000,4.0,0.8888888888888887,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.75,31900000,4.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0625,37252100,3.8,0.8888888888888887,0.5,0.038558786346396964,0.012797074954296161,0.03339191564147627
0.0,1.0,37016300,4.1,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.9375,25900000,3.6,0.7777777777777778,0.0,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.9375,35000000,4.5,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.9375,31900000,4.4,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.1875,36900000,4.4,0.8888888888888887,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.9375,26200000,3.4,0.7777777777777778,0.0,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.4375,32480000,4.2,0.6666666666666666,0.0,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.0,85944000,3.0,0.9999999999999999,0.5,1.0,0.992687385740402,1.0
0.0,0.0625,33360000,4.3,0.7777777777777778,0.5,0.03868520859671301,0.012797074954296161,0.03339191564147627
0.0,0.9375,36181000,3.9,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.4375,34250000,4.0,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.375,33605500,4.8,0.9999999999999999,0.5,0.038558786346396964,0.012431444241316272,0.03339191564147627
0.0,0.0625,31000000,4.4,0.7777777777777778,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.8125,38855000,4.0,0.8888888888888887,0.5,0.9936788874841973,0.9999999999999999,0.9824253075571177
0.0,0.9375,32000000,4.15,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.375,41880000,5.0,0.9999999999999999,0.5,0.038558786346396964,0.012431444241316272,0.03339191564147627
0.0,0.6875,39000000,4.9,0.9999999999999999,0.5,1.0,0.9999999999999999,0.9824253075571177
0.0,0.5,32290000,4.0,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,1.0,37800000,3.0,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.375,27990000,3.9,0.8888888888888887,0.5,0.038558786346396964,0.012797074954296161,0.03339191564147627
0.0,0.375,31400000,3.5,0.9999999999999999,0.5,0.038558786346396964,0.012431444241316272,0.035149384885764495
0.0,0.375,33640000,3.0,0.9999999999999999,0.5,0.038558786346396964,0.012431444241316272,0.03339191564147627
0.0,0.375,34000000,4.3,0.8888888888888887,0.5,0.038558786346396964,0.012431444241316272,0.03339191564147627
0.0,0.875,44100000,2.7,0.9999999999999999,0.5,0.036662452591656125,0.012797074954296161,0.03339191564147627
0.0,0.4375,39700000,4.1,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.375,38000000,4.2,0.8888888888888887,0.5,0.03286978508217446,0.012797074954296161,0.03339191564147627
0.0,0.875,47500000,4.2,0.9999999999999999,0.5,0.02781289506953223,0.012797074954296161,0.03339191564147627
0.0,0.375,33400000,4.15,0.8888888888888887,0.5,0.038558786346396964,0.012431444241316272,0.03339191564147627
0.0,0.125,41500000,4.15,0.8888888888888887,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.375,32025800,4.15,0.8888888888888887,0.5,0.038558786346396964,0.012431444241316272,0.03339191564147627
0.0,0.25,41000000,4.15,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.625,39000000,4.15,0.2222222222222222,0.0,0.006321112515802779,0.0036563071297989053,0.01581722319859402
0.0,0.875,42100000,2.7,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.3125,37990000,4.15,0.9999999999999999,0.5,0.03919089759797724,0.021937842778793418,0.024604569420035152
0.0,0.5625,32980000,4.15,0.9999999999999999,0.5,0.03919089759797724,0.012797074954296161,0.03339191564147627
0.0,0.75,42000000,3.6,0.2222222222222222,1.0,0.6270543615676359,0.9890310786106032,0.9753954305799648
