category,brand,price,rating,type,energy_rating,height,width,depth,fridge_shelves,freezer_shelves,total_capacity
0.0,0.26666666666666666,8546700,4.3,0.6000000000000001,0.0,0.012062033314187245,0.14705882352941177,0.010291595197255574,0.33333333333333337,0.0,0.02969121140142518
0.0,0.3,43600000,4.4,0.2,0.0,0.06766226306720276,1.0,0.02744425385934819,0.6666666666666666,0.5714285714285714,0.5783847980997625
0.0,0.3,28905330,4.4,0.8,0.25,0.07237219988512349,0.4117647058823529,0.06346483704974269,0.5,0.14285714285714285,0.5581947743467933
0.0,0.26666666666666666,11700000,4.1,0.6000000000000001,0.0,0.028144744399770244,0.2647058823529412,0.015437392795883353,0.33333333333333337,0.0,0.1140142517814727
0.0,0.5,39000000,4.2,1.0,0.0,0.0752441125789776,0.8823529411764706,0.05145797598627787,0.33333333333333337,0.2857142857142857,0.6033254156769596
0.0,0.5,34100000,4.2,0.8,0.0,0.07179781734635267,0.8823529411764706,0.04459691252144081,0.5,0.14285714285714285,0.6009501187648456
0.0,0.5,58390000,4.0,0.0,0.25,0.06950028719126938,0.3235294117647059,0.02744425385934819,0.6666666666666666,0.0,0.6448931116389549
0.0,0.26666666666666666,15980000,3.9,0.8,1.0,0.053704767375071794,0.23529411764705882,0.020583190394511147,0.33333333333333337,0.14285714285714285,0.17695961995249407
0.0,0.3,45000000,4.1,0.2,0.25,0.06766226306720276,1.0,0.045454545454545456,0.5,0.42857142857142855,0.6330166270783848
0.0,0.8,57169000,3.8,0.0,0.25,0.07352096496266514,0.6176470588235294,0.020583190394511147,0.6666666666666666,0.2857142857142857,0.9928741092636579
0.0,0.26666666666666666,7850000,4.0,0.4,0.25,0.0,0.1764705882352941,0.010291595197255574,0.16666666666666666,0.2857142857142857,0.0
0.0,0.3,43000000,4.2,0.2,0.25,0.07237219988512349,0.8823529411764706,0.03567753001715265,0.33333333333333337,0.2857142857142857,0.4334916864608076
0.0,0.5,27900000,4.3,1.0,0.25,0.08156232050545663,0.3529411764705882,0.029159519725557456,0.6666666666666666,0.2857142857142857,0.39429928741092635
0.0,0.4666666666666667,100000000,3.0,0.2,0.25,0.07041929925330269,1.0,0.07718696397941681,0.6666666666666666,0.2857142857142857,0.7779097387173397
0.0,0.4666666666666667,29500000,4.0,1.0,0.25,0.07869040781160253,0.4411764705882353,0.0360205831903945,0.5,0.2857142857142857,0.35985748218527314
