category,brand,price,rating,power,blade_material,dimensions,food_prep_features,image_path,product_url
چرخ گوشت,متفرقه,6250000,3,3000 وات,استیل زد زنگ,nan,nan,D:/چرخ گوشت/image_57.jpg,https://www.digikala.com/product/dkp-11249202/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-bsgr1298/
چرخ گوشت,متفرقه,9500000,3,1500 وات,ترکیب پلاستیک و استیل ضد زنگ,200 × 295 × 370,سوسیس ساز,D:/چرخ گوشت/image_58.jpg,https://www.digikala.com/product/dkp-204008/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%B1%D9%88%D9%81%DB%8C-%DA%A9%D9%88%DA%A9-%D9%85%D8%AF%D9%84-pc-fw-1003-1500-w/
چرخ گوشت,تولیپس,5100000,nan,2000وات وات,فولاد ضد زنگ,nan,nan,D:/چرخ گوشت/image_59.jpg,https://www.digikala.com/product/dkp-18358811/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AA%D9%88%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-mk-a-2200s/
چرخ گوشت,ترام هاوس,3300000,4.5,350 وات,استیل ضد زنگ,38.5x22x24.3,سوسیس ساز,D:/چرخ گوشت/image_60.jpg,https://www.digikala.com/product/dkp-15502348/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-mg-40301/
چرخ گوشت,ترام هاوس,3500000,3,1800 وات,nan,29.8x25x23.4,nan,D:/چرخ گوشت/image_61.jpg,https://www.digikala.com/product/dkp-15412312/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-mg-40151/
چرخ گوشت,نانیوا,6850000,4,300 وات,استیل,43x21x25,nan,D:/چرخ گوشت/image_62.jpg,https://www.digikala.com/product/dkp-12141364/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%86%D8%A7%D9%86%DB%8C%D9%88%D8%A7-%D9%85%D8%AF%D9%84-mk-g50/
چرخ گوشت,ویداس,4380000,nan,3000 وات,فلز زند زنگ,nan,nan,D:/چرخ گوشت/image_63.jpg,https://www.digikala.com/product/dkp-18038331/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%88%DB%8C%D8%AF%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-vir-3512/
چرخ گوشت,بیم,6990000,nan,600-1500 وات,استیل ضد زنگ,nan,قابلیت تنظیم سرعت,D:/چرخ گوشت/image_64.jpg,https://www.digikala.com/product/dkp-16926151/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A8%DB%8C%D9%85-%D9%85%D8%AF%D9%84-mg1601/
چرخ گوشت,سونیفر,3299000,nan,1200 وات,استیل,nan,nan,D:/چرخ گوشت/image_65.jpg,https://www.digikala.com/product/dkp-18338435/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B3%D9%88%D9%86%DB%8C%D9%81%D8%B1-%D9%85%D8%AF%D9%84-sf-5020/
چرخ گوشت,وسترن هاوس,13540000,nan,3000 وات وات,استیل ضد زنگ,nan,سیستم چرخش معکوس,D:/چرخ گوشت/image_66.jpg,https://www.digikala.com/product/dkp-17251635/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%88%D8%B3%D8%AA%D8%B1%D9%86-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-wmg-3750b/
چرخ گوشت,راف,4320000,5,1200 وات,استیل ضد زنگ,nan,سیستم چرخش معکوس,D:/چرخ گوشت/image_67.jpg,https://www.digikala.com/product/dkp-16556026/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B1%D8%A7%D9%81-%D9%85%D8%AF%D9%84-r3396/
چرخ گوشت,هاردستون,7776000,3,2200 وات,فولادی,nan,nan,D:/چرخ گوشت/image_68.jpg,https://www.digikala.com/product/dkp-14353651/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%87%D8%A7%D8%B1%D8%AF%D8%B3%D8%AA%D9%88%D9%86-%D9%85%D8%AF%D9%84-mgs5002/
چرخ گوشت,ترام هاوس,5100000,4.5,600 وات,nan,43x19.2x24.3,nan,D:/چرخ گوشت/image_69.jpg,https://www.digikala.com/product/dkp-15412362/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AF%D9%84-mg-40300/
چرخ گوشت,کورس,11400000,nan,3000 وات,پلاستیک,nan,nan,D:/چرخ گوشت/image_70.jpg,https://www.digikala.com/product/dkp-16340298/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%DA%A9%D9%88%D8%B1%D8%B3-%D9%85%D8%AF%D9%84-cmg1497/
چرخ گوشت,هنریچ,7200000,4.5,1800 وات,nan,nan,nan,D:/چرخ گوشت/image_71.jpg,https://www.digikala.com/product/dkp-11156551/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%87%D9%86%D8%B1%DB%8C%DA%86-%D9%85%D8%AF%D9%84-hfw-8808/
