category,brand,price,rating,capacity,energy_rating,baskets,height,width,depth,image_path,product_url
ماشین ظرفشویی,پاکشوما,26200000,3.4,13,nan,دو,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_14.jpg,https://www.digikala.com/product/dkp-17929563/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-13-%D9%86%D9%81%D8%B1%D9%87-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-pda3311w/
ماشین ظرفشویی,دوو,32480000,4.2,12,nan,دو,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_15.jpg,https://www.digikala.com/product/dkp-16531769/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DB%B1%DB%B2-%D9%86%D9%81%D8%B1%D9%87-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dw-110w/
ماشین ظرفشویی,آ ا گ,85944000,3.0,15,nan,سه,845.0,596.0,610.0,D:/ماشین ظرفشویی/image_16.jpg,https://www.digikala.com/product/dkp-4513496/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%A2-%D8%A7-%DA%AF-%D9%85%D8%AF%D9%84-ffb83730pw/
ماشین ظرفشویی,اسنوا,33360000,4.3,13,nan,سه,84.6,60.0,60.0,D:/ماشین ظرفشویی/image_17.jpg,https://www.digikala.com/product/dkp-15933347/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-13-%D9%86%D9%81%D8%B1%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sdw-a11w/
ماشین ظرفشویی,پاکشوما,36181000,3.9,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_18.jpg,https://www.digikala.com/product/dkp-7691261/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-mdf-15305/
ماشین ظرفشویی,دوو,34250000,4.0,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_19.jpg,https://www.digikala.com/product/dkp-17879133/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-15-%D9%86%D9%81%D8%B1%D9%87-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-ddw-2560/
ماشین ظرفشویی,جی پلاس,33605500,4.8,15,nan,سه,84.5,59.8,60.0,D:/ماشین ظرفشویی/image_20.jpg,https://www.digikala.com/product/dkp-11400207/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-n4673ns/
ماشین ظرفشویی,اسنوا,31000000,4.4,13,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_21.jpg,https://www.digikala.com/product/dkp-15933510/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-13-%D9%86%D9%81%D8%B1%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sdw-a11s/
ماشین ظرفشویی,هیوندای,38855000,4.0,14,nan,سه,840.0,600.0,600.0,D:/ماشین ظرفشویی/image_22.jpg,https://www.digikala.com/product/dkp-3765894/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D9%87%DB%8C%D9%88%D9%86%D8%AF%D8%A7%DB%8C-%D9%85%D8%AF%D9%84-hdw-1404/
ماشین ظرفشویی,پاکشوما,32000000,,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_23.jpg,https://www.digikala.com/product/dkp-18395168/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-15-%D9%86%D9%81%D8%B1%D9%87-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-pdv-4511-s/
ماشین ظرفشویی,جی پلاس,41880000,5.0,15,nan,سه,84.5,59.8,60.0,D:/ماشین ظرفشویی/image_24.jpg,https://www.digikala.com/product/dkp-16453422/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%DB%B1%DB%B5-%D9%86%D9%81%D8%B1%D9%87-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gdw-p5683s/
ماشین ظرفشویی,متفرقه,39000000,4.9,15,nan,سه,845.0,600.0,600.0,D:/ماشین ظرفشویی/image_25.jpg,https://www.digikala.com/product/dkp-2480620/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%DB%8C%D9%88%D9%84%DB%8C-%D9%85%D8%AF%D9%84-153hs/
ماشین ظرفشویی,زیرووات,32290000,4.0,15,nan,سه,85.0,60.0,60.0,D:/ماشین ظرفشویی/image_26.jpg,https://www.digikala.com/product/dkp-15745253/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%B2%DB%8C%D8%B1%D9%88%D9%88%D8%A7%D8%AA-%D8%B3%D9%81%DB%8C%D8%AF-%D9%85%D8%AF%D9%84fcd-3550w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-15-%D9%86%D9%81%D8%B1%D9%87/
